　　　　　　　　电影名称　　　　　　　　	    评分    	   评论人数   	短评　　　　　　　　
　　　　　　　　城市之光　　　　　　　　	   9.2    	  46133   	永远的小人物，伟大的卓别林。
　　　　　　　　　变脸　　　　　　　　　	   8.4    	  221180  	当发哥的风衣、墨镜出现在了凯奇身上⋯⋯
　　　　　　　你的名字。　　　　　　　　	   8.4    	  491511  	穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
　　　　　　　　荒野生存　　　　　　　　	   8.6    	  131732  	出门必备：本草纲目。
　　　　　　　　迁徙的鸟　　　　　　　　	   9.1    	  52981   	最美的飞翔。　　　　
　　　　　　E.T. 外星人　　　　　　	   8.5    	  158819  	生病的E.T.皮肤的颜色就像柿子饼。
　　　　　　　　发条橙　　　　　　　　　	   8.4    	  191838  	我完全康复了。　　　
　　　　　　　　无耻混蛋　　　　　　　　	   8.4    	  230803  	昆汀同学越来越变态了，比北野武还杜琪峰。
　　　　　　　初恋这件小事　　　　　　　	   8.3    	  478373  	黑小鸭速效美白记。　
　　　　　　　　美国丽人　　　　　　　　	   8.4    	  191446  	每个人的内心都是深不可测的大海。 
　　　　　　　黄金三镖客　　　　　　　　	   9.1    	  53251   	最棒的西部片。　　　
　　　　　　　　英国病人　　　　　　　　	   8.4    	  178236  	In memory, love lives forever...
　　　　　　爱在午夜降临前　　　　　　　	   8.8    	  120929  	所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
　　　　　　　　燕尾蝶　　　　　　　　　	   8.6    	  110078  	现实与童话交相辉映的旅程。
　　　　　　　　无人知晓　　　　　　　　	   9.0    	  59420   	我的平常生活就是他人的幸福。
　　　　　　　非常嫌疑犯　　　　　　　　	   8.6    	  120180  	我不信仰上帝，但我敬畏上帝。
　　　　　　　叫我第一名　　　　　　　　	   8.6    	  111961  	乐观比一切都有力量。
　　　　　　　疯狂的石头　　　　　　　　	   8.3    	  326820  	中国版《两杆大烟枪》。
　　　　　　　　穆赫兰道　　　　　　　　	   8.3    	  242234  	大卫·林奇的梦境迷宫。
　　　　　　　　　勇士　　　　　　　　　	   8.9    	  89963   	热血沸腾，相当完美的娱乐拳击大餐。
　　　　　　　无敌破坏王　　　　　　　　	   8.6    	  190198  	迪士尼和皮克斯拿错剧本的产物。
　　　　　　　国王的演讲　　　　　　　　	   8.3    	  351123  	皇上无话儿。　　　　
　　　　　　　　步履不停　　　　　　　　	   8.8    	  76714   	日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
　　　　　　　　　血钻　　　　　　　　　	   8.5    	  137227  	每个美丽事物背后都是滴血的现实。
　　　　　　　上帝也疯狂　　　　　　　　	   8.6    	  98858   	纯净原始的笑与感动。
　　　　　　彗星来的那一夜　　　　　　　	   8.4    	  185857  	小成本大魅力。　　　
　　　　　　　　　枪火　　　　　　　　　	   8.6    	  102906  	一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。
　　　　　　　　蓝色大门　　　　　　　　	   8.3    	  278203  	青春的窃窃私语。 　
　　　　　　大卫·戈尔的一生　　　　　　	   8.6    	  96570   	捍卫人权只是信仰，一点不妨碍其行为的残忍。
　　　　　　　　遗愿清单　　　　　　　　	   8.5    	  133444  	用剩余不多的时间，去燃烧整个生命。
　　　　　　　　我爱你　　　　　　　　　	   9.0    	  59549   	你要相信，这世上真的有爱存在，不管在什么年纪 
　　　　　　　　千钧一发　　　　　　　　	   8.7    	  89005   	一部能引人思考的科幻励志片。
　　　　　　　　荒岛余生　　　　　　　　	   8.5    	  138693  	一个人的独角戏。　　
　　　　　　　　爱·回家　　　　　　　　	   9.0    	  48627   	献给所有外婆的电影。
　　　　　　　　黑鹰坠落　　　　　　　　	   8.5    	  118806  	还原真实而残酷的战争。
　　　　　　　　麦兜故事　　　　　　　　	   8.5    	  131269  	麦兜是一只很哲学的猪。 
　　　　　　　　　聚焦　　　　　　　　　	   8.8    	  130566  	无　　　　　　　　　
　　　　　　　暖暖内含光　　　　　　　　	   8.4    	  148279  	恋爱是一次神经的冒险。就算失去记忆，也会爱上你。
